Name,Product Price,Product URL,Rating,No. of Reviews,ASIN,Item Weight,Manufacturer,Model Number,Quantity,Generic Name,Description
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,4.3 out of 5 stars,"10,922",B084JGJ8PF,‎480 g,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039",‎Mii-007,1 U,Laptop Backpack,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,4.0 out of 5 stars,"54,203",B07CJCGM1M,510 g,‎Samsonite,‎AMT FIZZ SCH BAG 02 - BLACK,1 count,Backpack,N/A
Skybags Brat Black 46 Cms Casual Backpack,669,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,4.1 out of 5 stars,"4,547",B08Z1HHHTD,390 g,VIP Industries Ltd,N/A,N/A,N/A,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack"
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,4.2 out of 5 stars,203,B0BTD4FK9G,510 g,EXPERTS,LT9 (0) 01 002,N/A,BACKPACK,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,3.9 out of 5 stars,801,B09TPX22NF,530 g,ADISA,BP041,1.00 count,Laptop backpack,N/A
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",529,https://amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,3.9 out of 5 stars,"15,923",B085MHDJ93,600 g,Amazing Bags,bag for men,N/A,laptop bag,N/A
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,4.0 out of 5 stars,"4,023",B09VTCNN75,700 g,FUR JADEN,BM83,1.00 Unit,Anti Theft Laptop Backpack,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,749,https://amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,3.9 out of 5 stars,"2,764",B0BJ32LQ6X,670 g,Amazing Bags,laptop bag,N/A,N/A,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover."
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,https://amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,4.0 out of 5 stars,"19,027",B07Q7CNPMV,490 g,Safari Industries (India) Ltd,DAYPACKNEO15CBSEB,1 Count,Backpack,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment."
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,4.3 out of 5 stars,194,B0BTD4S4XF,510 g,EXPERTS,LT9 (0) 09 002,N/A,BACKPACK,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self"
